Opcode,Instruction,Operand/Extension,Section
DD ED 68 D,"LEA.L XHL, (XIX+d)",d (1B変位),6. 実効アドレス演算・スタック退避命令（PEA / LEA シリーズ）
DD ED 69 D,"LEA.L XDE, (XIX+d)",d (1B変位),6. 実効アドレス演算・スタック退避命令（PEA / LEA シリーズ）
DD ED 6A D,PEA.L (XIX+d),d (1B変位),6. 実効アドレス演算・スタック退避命令（PEA / LEA シリーズ）
ED 03,INC XBC,なし,3. 24ビット演算・データロード・ブロック転送命令（Xシリーズ）
ED 04,"LD BC_B, A",なし,2. 動作モード操作・バンクレジスタ個別操作命令
ED 09,"ADD XHL, XBC",なし,3. 24ビット演算・データロード・ブロック転送命令（Xシリーズ）
ED 0A,"SUB XHL, XBC",なし,3. 24ビット演算・データロード・ブロック転送命令（Xシリーズ）
ED 0B,DEC XBC,なし,3. 24ビット演算・データロード・ブロック転送命令（Xシリーズ）
ED 0C,"LD A, BC_B",なし,2. 動作モード操作・バンクレジスタ個別操作命令
ED 13,INC XDE,なし,3. 24ビット演算・データロード・ブロック転送命令（Xシリーズ）
ED 14,"LD DE_B, A",なし,2. 動作モード操作・バンクレジスタ個別操作命令
ED 18,JR.L offset16,"dl, dh",5. 無条件・条件付き 24ビット制御（分岐・コール・リターン）命令
ED 19,"ADD XHL, XDE",なし,3. 24ビット演算・データロード・ブロック転送命令（Xシリーズ）
ED 1A,"SUB XHL, XDE",なし,3. 24ビット演算・データロード・ブロック転送命令（Xシリーズ）
ED 1B,DEC XDE,なし,3. 24ビット演算・データロード・ブロック転送命令（Xシリーズ）
ED 1C,"LD A, DE_B",なし,2. 動作モード操作・バンクレジスタ個別操作命令
ED 20,JR.L NZ,"dl, dh",5. 無条件・条件付き 24ビット制御（分岐・コール・リターン）命令
ED 22,"LD (ext24), XHL","bl, bh, bn",3. 24ビット演算・データロード・ブロック転送命令（Xシリーズ）
ED 23,INC XHL,なし,3. 24ビット演算・データロード・ブロック転送命令（Xシリーズ）
ED 24,"LD HL_B, A",なし,2. 動作モード操作・バンクレジスタ個別操作命令
ED 28,"Z, offset16","dl, dh",5. 無条件・条件付き 24ビット制御（分岐・コール・リターン）命令
ED 29,"ADD XHL, XHL",なし,3. 24ビット演算・データロード・ブロック転送命令（Xシリーズ）
ED 2A,"LD XHL, (ext24)","bl, bh, bn",3. 24ビット演算・データロード・ブロック転送命令（Xシリーズ）
ED 2B,DEC XHL,なし,3. 24ビット演算・データロード・ブロック転送命令（Xシリーズ）
ED 2C,"LD A, HL_B",なし,2. 動作モード操作・バンクレジスタ個別操作命令
ED 30,JR.L NC,"dl, dh",5. 無条件・条件付き 24ビット制御（分岐・コール・リターン）命令
ED 31,"LD XSP, ext24","dl, dh, db",3. 24ビット演算・データロード・ブロック転送命令（Xシリーズ）
ED 32,"LD XHL, ext24","dl, dh, db",3. 24ビット演算・データロード・ブロック転送命令（Xシリーズ）
ED 33,INC XSP,なし,3. 24ビット演算・データロード・ブロック転送命令（Xシリーズ）
ED 34,"LD INT_B, A",なし,2. 動作モード操作・バンクレジスタ個別操作命令
ED 35,"LD MSP_B, A",なし,2. 動作モード操作・バンクレジスタ個別操作命令
ED 38,"C, offset16","dl, dh",5. 無条件・条件付き 24ビット制御（分岐・コール・リターン）命令
ED 39,"ADD XHL, XSP",なし,3. 24ビット演算・データロード・ブロック転送命令（Xシリーズ）
ED 3B,DEC XSP,なし,3. 24ビット演算・データロード・ブロック転送命令（Xシリーズ）
ED 3D,"CP XHL, XDE",なし,3. 24ビット演算・データロード・ブロック転送命令（Xシリーズ）
ED 47,"LD (XHL), XBC",なし,3. 24ビット演算・データロード・ブロック転送命令（Xシリーズ）
ED 48,"OUT (C), A",なし,7. Z80標準ブロック転送・I/O命令（周辺デバイス制御用リファレンス）
ED 4E,RETI.L,なし,5. 無条件・条件付き 24ビット制御（分岐・コール・リターン）命令
ED 4F,"LD XBC, (XHL)",なし,3. 24ビット演算・データロード・ブロック転送命令（Xシリーズ）
ED 57,"LD (XHL), XDE",なし,3. 24ビット演算・データロード・ブロック転送命令（Xシリーズ）
ED 5F,"LD XDE, (XHL)",なし,3. 24ビット演算・データロード・ブロック転送命令（Xシリーズ）
ED 6F,LDIR24,なし,3. 24ビット演算・データロード・ブロック転送命令（Xシリーズ）
